theria_main,theria_sub,order
Eutheria,Afrotheria,Afrosoricida
Eutheria,Laurasiatheria,Artiodactyla
Eutheria,Laurasiatheria,Carnivora
Eutheria,Laurasiatheria,Cetacea
Eutheria,Laurasiatheria,Chiroptera
Eutheria,Xenarthra,Cingulata
Marsupialia,Marsupialia,Didelphimorphia
Marsupialia,Marsupialia,Diprotodontia
Eutheria,Laurasiatheria,Erinaceomorpha
Eutheria,Afrotheria,Hyracoidea
Eutheria,Euarchontoglires,Lagomorpha
Prototheria,Prototheria,Monotremata
Eutheria,Laurasiatheria,Perissodactyla
Eutheria,Xenarthra,Pilosa
Eutheria,Euarchontoglires,Primates
Eutheria,Afrotheria,Proboscidea
Eutheria,Euarchontoglires,Rodentia
Eutheria,Euarchontoglires,Scandentia
Eutheria,Laurasiatheria,Soricomorpha
